google.co.jp,"(1, '317850')"
feedburner.com,"(1, '341637')"
miibeian.gov.cn,"(1, '318809')"
parallels.com,"(1, '310929')"
cnn.com,"(1, '307907')"
secureserver.net,"(1, '329273')"
gov.uk,"(1, '335597')"
bluehost.com,"(1, '304469')"
stumbleupon.com,"(1, '335543')"
github.com,"(1, '314762')"
